mz,intensity,percent,DistributionLabel
414.8,127,4.16,Br2Cl3
415.8,2837,92.83,Br2Cl3
416.8,359,11.75,Br2Cl3
417.79,3056,100,Br2Cl3
418.8,423,13.84,Br2Cl3
419.79,1522,49.8,Br2Cl3
420.79,216,7.07,Br2Cl3
421.79,399,13.06,Br2Cl3
422.79,46,1.51,Br2Cl3
423.79,23,0.75,Br2Cl3
424.79,3,0.1,Br2Cl3
425.79,1,0.03,Br2Cl3
447.76,748,25.09,Br2Cl4
448.76,105,3.52,Br2Cl4
449.76,2416,81.05,Br2Cl4
450.76,318,10.67,Br2Cl4
451.75,2981,100,Br2Cl4
452.76,386,12.95,Br2Cl4
453.75,1915,64.24,Br2Cl4
454.75,248,8.32,Br2Cl4
455.75,680,22.81,Br2Cl4
456.75,75,2.52,Br2Cl4
457.75,108,3.62,Br2Cl4
458.75,12,0.4,Br2Cl4
459.74,7,0.23,Br2Cl4
461.75,1,0.03,Br2Cl4
481.72,574,19.96,Br2Cl5
482.72,71,2.47,Br2Cl5
483.72,1957,68.05,Br2Cl5
484.72,267,9.28,Br2Cl5
485.72,2876,100,Br2Cl5
486.72,365,12.69,Br2Cl5
487.71,2159,75.07,Br2Cl5
488.72,313,10.88,Br2Cl5
489.71,965,33.55,Br2Cl5
490.71,131,4.55,Br2Cl5
491.71,248,8.62,Br2Cl5
492.71,26,0.9,Br2Cl5
493.7,41,1.43,Br2Cl5
494.71,3,0.1,Br2Cl5
495.7,4,0.14,Br2Cl5
423.79,854,25.5,Br3Cl1
424.79,108,3.22,Br3Cl1
425.78,2838,84.74,Br3Cl1
426.79,374,11.17,Br3Cl1
427.78,3349,100,Br3Cl1
428.79,427,12.75,Br3Cl1
429.78,1561,46.61,Br3Cl1
430.78,210,6.27,Br3Cl1
431.78,254,7.58,Br3Cl1
432.78,24,0.72,Br3Cl1
433.78,1,0.03,Br3Cl1
457.75,657,20.61,Br3Cl2
458.75,93,2.92,Br3Cl2
459.75,2376,74.55,Br3Cl2
