mz,intensity,percent,DistributionLabel,PeakNumber
NA,0,0,Br1Cl3,12
NA,0,0,Br1Cl3,13
NA,0,0,Br1Cl3,14
NA,0,0,Br1Cl4,-9
NA,0,0,Br1Cl4,-8
NA,0,0,Br1Cl4,-7
NA,0,0,Br1Cl4,-6
NA,0,0,Br1Cl4,-5
NA,0,0,Br1Cl4,-4
NA,0,0,Br1Cl4,-3
NA,0,0,Br1Cl4,-2
369.85,1512,45.71,Br1Cl4,-1
370.85,211,6.38,Br1Cl4,0
371.85,3308,100,Br1Cl4,1
372.85,468,14.15,Br1Cl4,2
373.84,2737,82.74,Br1Cl4,3
374.85,308,9.31,Br1Cl4,4
375.84,1064,32.16,Br1Cl4,5
376.84,140,4.23,Br1Cl4,6
377.84,197,5.96,Br1Cl4,7
378.84,33,1,Br1Cl4,8
379.84,17,0.51,Br1Cl4,9
380.84,5,0.15,Br1Cl4,10
NA,0,0,Br1Cl4,11
NA,0,0,Br1Cl4,12
NA,0,0,Br1Cl4,13
NA,0,0,Br1Cl4,14
NA,0,0,Br1Cl5,-9
NA,0,0,Br1Cl5,-8
NA,0,0,Br1Cl5,-7
NA,0,0,Br1Cl5,-6
NA,0,0,Br1Cl5,-5
NA,0,0,Br1Cl5,-4
403.81,1117,37.86,Br1Cl5,-3
404.81,143,4.85,Br1Cl5,-2
405.81,2894,98.1,Br1Cl5,-1
406.81,368,12.47,Br1Cl5,0
407.8,2950,100,Br1Cl5,1
408.81,363,12.31,Br1Cl5,2
409.8,1448,49.08,Br1Cl5,3
410.8,171,5.8,Br1Cl5,4
411.8,400,13.56,Br1Cl5,5
412.8,52,1.76,Br1Cl5,6
413.8,80,2.71,Br1Cl5,7
414.8,9,0.31,Br1Cl5,8
415.79,4,0.14,Br1Cl5,9
416.8,1,0.03,Br1Cl5,10
NA,0,0,Br1Cl5,11
NA,0,0,Br1Cl5,12
NA,0,0,Br1Cl5,13
NA,0,0,Br1Cl5,14
NA,0,0,Br2Cl1,-9
NA,0,0,Br2Cl1,-8
NA,0,0,Br2Cl1,-7
NA,0,0,Br2Cl1,-6
NA,0,0,Br2Cl1,-5
NA,0,0,Br2Cl1,-4
NA,0,0,Br2Cl1,-3
NA,0,0,Br2Cl1,-2
345.88,1692,43.98,Br2Cl1,-1
346.88,234,6.08,Br2Cl1,0
347.87,3847,100,Br2Cl1,1
348.88,494,12.84,Br2Cl1,2
349.87,2779,72.24,Br2Cl1,3
350.87,349,9.07,Br2Cl1,4
351.87,531,13.8,Br2Cl1,5
352.87,70,1.82,Br2Cl1,6
353.88,4,0.1,Br2Cl1,7
NA,0,0,Br2Cl1,8
NA,0,0,Br2Cl1,9
NA,0,0,Br2Cl1,10
NA,0,0,Br2Cl1,11
NA,0,0,Br2Cl1,12
NA,0,0,Br2Cl1,13
NA,0,0,Br2Cl1,14
NA,0,0,Br2Cl2,-9
NA,0,0,Br2Cl2,-8
NA,0,0,Br2Cl2,-7
NA,0,0,Br2Cl2,-6
NA,0,0,Br2Cl2,-5
NA,0,0,Br2Cl2,-4
NA,0,0,Br2Cl2,-3
NA,0,0,Br2Cl2,-2
379.84,1301,38.4,Br2Cl2,-1
380.84,193,5.7,Br2Cl2,0
381.83,3388,100,Br2Cl2,1
382.84,443,13.08,Br2Cl2,2
383.83,2903,85.68,Br2Cl2,3
384.84,391,11.54,Br2Cl2,4
385.83,1084,32,Br2Cl2,5
386.83,144,4.25,Br2Cl2,6
387.83,132,3.9,Br2Cl2,7
388.83,20,0.59,Br2Cl2,8
389.83,1,0.03,Br2Cl2,9
NA,0,0,Br2Cl2,10
NA,0,0,Br2Cl2,11
NA,0,0,Br2Cl2,12
NA,0,0,Br2Cl2,13
NA,0,0,Br2Cl2,14
NA,0,0,Br2Cl3,-9
NA,0,0,Br2Cl3,-8
NA,0,0,Br2Cl3,-7
NA,0,0,Br2Cl3,-6
NA,0,0,Br2Cl3,-5
NA,0,0,Br2Cl3,-4
413.8,988,32.33,Br2Cl3,-3
414.8,127,4.16,Br2Cl3,-2
415.8,2837,92.83,Br2Cl3,-1
416.8,359,11.75,Br2Cl3,0
417.79,3056,100,Br2Cl3,1
418.8,423,13.84,Br2Cl3,2
419.79,1522,49.8,Br2Cl3,3
420.79,216,7.07,Br2Cl3,4
421.79,399,13.06,Br2Cl3,5
422.79,46,1.51,Br2Cl3,6
423.79,23,0.75,Br2Cl3,7
424.79,3,0.1,Br2Cl3,8
425.79,1,0.03,Br2Cl3,9
NA,0,0,Br2Cl3,10
NA,0,0,Br2Cl3,11
NA,0,0,Br2Cl3,12
NA,0,0,Br2Cl3,13
NA,0,0,Br2Cl3,14
NA,0,0,Br2Cl4,-9
NA,0,0,Br2Cl4,-8
NA,0,0,Br2Cl4,-7
NA,0,0,Br2Cl4,-6
NA,0,0,Br2Cl4,-5
NA,0,0,Br2Cl4,-4
447.76,748,25.09,Br2Cl4,-3
448.76,105,3.52,Br2Cl4,-2
449.76,2416,81.05,Br2Cl4,-1
450.76,318,10.67,Br2Cl4,0
451.75,2981,100,Br2Cl4,1
452.76,386,12.95,Br2Cl4,2
453.75,1915,64.24,Br2Cl4,3
454.75,248,8.32,Br2Cl4,4
455.75,680,22.81,Br2Cl4,5
456.75,75,2.52,Br2Cl4,6
457.75,108,3.62,Br2Cl4,7
458.75,12,0.4,Br2Cl4,8
459.74,7,0.23,Br2Cl4,9
461.75,1,0.03,Br2Cl4,10
NA,0,0,Br2Cl4,11
NA,0,0,Br2Cl4,12
NA,0,0,Br2Cl4,13
NA,0,0,Br2Cl4,14
NA,0,0,Br2Cl5,-9
NA,0,0,Br2Cl5,-8
NA,0,0,Br2Cl5,-7
NA,0,0,Br2Cl5,-6
NA,0,0,Br2Cl5,-5
NA,0,0,Br2Cl5,-4
481.72,574,19.96,Br2Cl5,-3
482.72,71,2.47,Br2Cl5,-2
483.72,1957,68.05,Br2Cl5,-1
484.72,267,9.28,Br2Cl5,0
485.72,2876,100,Br2Cl5,1
486.72,365,12.69,Br2Cl5,2
487.71,2159,75.07,Br2Cl5,3
488.72,313,10.88,Br2Cl5,4
489.71,965,33.55,Br2Cl5,5
490.71,131,4.55,Br2Cl5,6
491.71,248,8.62,Br2Cl5,7
492.71,26,0.9,Br2Cl5,8
493.7,41,1.43,Br2Cl5,9
494.71,3,0.1,Br2Cl5,10
495.7,4,0.14,Br2Cl5,11
NA,0,0,Br2Cl5,12
NA,0,0,Br2Cl5,13
NA,0,0,Br2Cl5,14
NA,0,0,Br3Cl1,-9
NA,0,0,Br3Cl1,-8
NA,0,0,Br3Cl1,-7
NA,0,0,Br3Cl1,-6
NA,0,0,Br3Cl1,-5
NA,0,0,Br3Cl1,-4
423.79,854,25.5,Br3Cl1,-3
424.79,108,3.22,Br3Cl1,-2
425.78,2838,84.74,Br3Cl1,-1
426.79,374,11.17,Br3Cl1,0
427.78,3349,100,Br3Cl1,1
428.79,427,12.75,Br3Cl1,2
429.78,1561,46.61,Br3Cl1,3
430.78,210,6.27,Br3Cl1,4
431.78,254,7.58,Br3Cl1,5
432.78,24,0.72,Br3Cl1,6
433.78,1,0.03,Br3Cl1,7
NA,0,0,Br3Cl1,8
NA,0,0,Br3Cl1,9
NA,0,0,Br3Cl1,10
NA,0,0,Br3Cl1,11
NA,0,0,Br3Cl1,12
NA,0,0,Br3Cl1,13
NA,0,0,Br3Cl1,14
NA,0,0,Br3Cl2,-9
NA,0,0,Br3Cl2,-8
NA,0,0,Br3Cl2,-7
NA,0,0,Br3Cl2,-6
NA,0,0,Br3Cl2,-5
NA,0,0,Br3Cl2,-4
457.75,657,20.61,Br3Cl2,-3
458.75,93,2.92,Br3Cl2,-2
459.75,2376,74.55,Br3Cl2,-1
460.75,282,8.85,Br3Cl2,0
461.74,3187,100,Br3Cl2,1
462.75,426,13.37,Br3Cl2,2
463.74,1976,62,Br3Cl2,3
464.74,262,8.22,Br3Cl2,4
465.74,603,18.92,Br3Cl2,5
466.74,75,2.35,Br3Cl2,6
467.74,56,1.76,Br3Cl2,7
468.74,6,0.19,Br3Cl2,8
469.74,1,0.03,Br3Cl2,9
NA,0,0,Br3Cl2,10
NA,0,0,Br3Cl2,11
NA,0,0,Br3Cl2,12
NA,0,0,Br3Cl2,13
NA,0,0,Br3Cl2,14
NA,0,0,Br3Cl3,-9
NA,0,0,Br3Cl3,-8
NA,0,0,Br3Cl3,-7
NA,0,0,Br3Cl3,-6
NA,0,0,Br3Cl3,-5
NA,0,0,Br3Cl3,-4
491.71,517,17.07,Br3Cl3,-3
492.71,72,2.38,Br3Cl3,-2
493.71,1898,62.66,Br3Cl3,-1
494.71,213,7.03,Br3Cl3,0
495.7,3029,100,Br3Cl3,1
496.71,396,13.07,Br3Cl3,2
497.7,2345,77.42,Br3Cl3,3
498.7,277,9.14,Br3Cl3,4
499.7,876,28.92,Br3Cl3,5
500.7,145,4.79,Br3Cl3,6
501.7,197,6.5,Br3Cl3,7
502.7,21,0.69,Br3Cl3,8
503.69,13,0.43,Br3Cl3,9
504.7,1,0.03,Br3Cl3,10
NA,0,0,Br3Cl3,11
NA,0,0,Br3Cl3,12
NA,0,0,Br3Cl3,13
NA,0,0,Br3Cl3,14
NA,0,0,Br3Cl4,-9
NA,0,0,Br3Cl4,-8
NA,0,0,Br3Cl4,-7
NA,0,0,Br3Cl4,-6
NA,0,0,Br3Cl4,-5
NA,0,0,Br3Cl4,-4
525.67,410,15.18,Br3Cl4,-3
526.67,60,2.22,Br3Cl4,-2
527.67,1492,55.24,Br3Cl4,-1
528.67,196,7.26,Br3Cl4,0
529.66,2701,100,Br3Cl4,1
530.67,354,13.11,Br3Cl4,2
531.66,2475,91.63,Br3Cl4,3
532.67,315,11.66,Br3Cl4,4
533.66,1316,48.72,Br3Cl4,5
534.66,161,5.96,Br3Cl4,6
535.66,384,14.22,Br3Cl4,7
536.66,62,2.3,Br3Cl4,8
537.65,59,2.18,Br3Cl4,9
538.66,8,0.3,Br3Cl4,10
539.65,7,0.26,Br3Cl4,11
NA,0,0,Br3Cl4,12
NA,0,0,Br3Cl4,13
NA,0,0,Br3Cl4,14
NA,0,0,Br3Cl5,-9
NA,0,0,Br3Cl5,-8
NA,0,0,Br3Cl5,-7
NA,0,0,Br3Cl5,-6
559.63,309,12.31,Br3Cl5,-5
560.63,39,1.55,Br3Cl5,-4
