"theoretical_mz","theoretical_percent_intensity","distribution_name"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl4"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
325.9,59.76,"Cl5"
326.9,8.6,"Cl5"
327.9,100,"Cl5"
328.9,13.72,"Cl5"
329.89,65.7,"Cl5"
330.9,8.43,"Cl5"
331.89,19.82,"Cl5"
332.89,3.05,"Cl5"
333.89,2.86,"Cl5"
334.89,0.57,"Cl5"
335.88,0.31,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl5"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
359.86,52.77,"Cl6"
360.86,7.04,"Cl6"
361.86,100,"Cl6"
362.86,12.74,"Cl6"
363.85,82.14,"Cl6"
364.86,10.06,"Cl6"
365.85,34.56,"Cl6"
366.85,4.34,"Cl6"
367.85,8.21,"Cl6"
368.85,0.97,"Cl6"
369.85,1.42,"Cl6"
370.85,0.16,"Cl6"
371.84,0.06,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl6"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
393.82,44.13,"Cl7"
394.82,6.53,"Cl7"
395.82,100,"Cl7"
396.82,13.32,"Cl7"
397.82,98.36,"Cl7"
398.82,11.89,"Cl7"
399.81,53.27,"Cl7"
400.82,6.14,"Cl7"
401.81,17.1,"Cl7"
402.81,2.5,"Cl7"
403.81,3.07,"Cl7"
404.81,0.29,"Cl7"
405.8,0.39,"Cl7"
406.82,0.04,"Cl7"
NA,0,"Cl7"
NA,0,"Cl7"
NA,0,"Cl8"
NA,0,"Cl8"
NA,0,"Cl8"
NA,0,"Cl8"
NA,0,"Cl8"
NA,0,"Cl8"
427.78,33.36,"Cl8"
428.79,4.74,"Cl8"
429.78,90.92,"Cl8"
430.78,11.81,"Cl8"
431.78,100,"Cl8"
432.78,13.16,"Cl8"
433.77,64.93,"Cl8"
434.78,8.75,"Cl8"
435.77,25.77,"Cl8"
436.77,3.35,"Cl8"
437.77,5.98,"Cl8"
438.77,0.77,"Cl8"
439.77,0.84,"Cl8"
440.77,0.15,"Cl8"
441.76,0.04,"Cl8"
NA,0,"Cl8"
NA,0,"Cl8"
NA,0,"Cl8"
NA,0,"Cl9"
NA,0,"Cl9"
NA,0,"Cl9"
NA,0,"Cl9"
NA,0,"Cl9"
NA,0,"Cl9"
461.74,26.85,"Cl9"
462.75,3.75,"Cl9"
463.74,79.08,"Cl9"
464.74,10.71,"Cl9"
465.74,100,"Cl9"
466.74,12.35,"Cl9"
467.73,80.84,"Cl9"
468.74,10.21,"Cl9"
469.73,36.79,"Cl9"
470.73,5.62,"Cl9"
471.73,10.94,"Cl9"
472.73,2.18,"Cl9"
473.73,2.52,"Cl9"
474.73,0.11,"Cl9"
475.72,0.46,"Cl9"
NA,0,"Cl9"
NA,0,"Cl9"
NA,0,"Cl9"
NA,0,"Cl10"
NA,0,"Cl10"
NA,0,"Cl10"
NA,0,"Cl10"
NA,0,"Cl10"
NA,0,"Cl10"
495.7,19.82,"Cl10"
496.71,2.88,"Cl10"
497.7,70.8,"Cl10"
498.7,9.23,"Cl10"
499.7,100,"Cl10"
500.7,14.1,"Cl10"
501.7,88.21,"Cl10"
502.7,11.51,"Cl10"
503.69,48.22,"Cl10"
504.7,6.59,"Cl10"
505.69,19.66,"Cl10"
506.69,2.52,"Cl10"
507.69,4,"Cl10"
508.69,0.72,"Cl10"
509.68,0.96,"Cl10"
510.69,0.16,"Cl10"
511.68,0.12,"Cl10"
513.68,0.04,"Cl10"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
267.97,76.28,"Br1Cl1"
268.97,10.04,"Br1Cl1"
269.96,100,"Br1Cl1"
270.97,13,"Br1Cl1"
271.96,25.11,"Br1Cl1"
272.96,2.98,"Br1Cl1"
273.97,0.2,"Br1Cl1"
274.97,0.02,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl1"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
301.93,62.46,"Br1Cl2"
